ms	Voltage (0-3.3 V)
3837	0.65
3842	0.52
3847	0.44
3852	0.40
3857	0.38
3862	0.36
3867	0.35
3872	0.36
3877	0.35
3882	0.34
3887	0.35
3892	0.35
3897	0.33
3902	0.33
3907	0.34
3912	0.34
3917	0.33
3922	0.35
3927	0.34
3932	0.34
3937	0.34
3942	0.35
3947	0.34
3952	0.34
3957	0.35
3962	0.35
3967	0.35
3972	0.36
3977	0.35
3982	0.34
3987	0.35
3992	0.36
3997	0.35
4002	0.35
4007	0.35
4012	0.34
4017	0.34
4022	0.35
4027	0.35
4032	0.34
4037	0.34
4042	0.36
4047	0.35
4052	0.35
4057	0.35
4062	0.34
4067	0.34
4072	0.35
4077	0.36
4082	0.35
4087	0.35
4092	0.35
4097	0.34
4102	0.34
4107	0.36
4112	0.35
4117	0.34
4122	0.35
4127	0.35
4132	0.34
4137	0.34
4142	0.36
4147	0.34
4152	0.34
4157	0.35
4162	0.34
4167	0.34
4172	0.35
4177	0.35
4182	0.34
4187	0.34
4192	0.35
4197	0.34
4202	0.33
4207	0.34
4212	0.34
4217	0.34
4222	0.35
4227	0.82
4232	1.18
4237	1.42
4242	1.59
4247	1.60
4252	1.59
4257	1.65
4262	1.54
4267	1.49
4272	1.56
4277	1.55
4282	1.46
4287	1.50
4292	1.61
4297	1.51
4302	1.49
4307	1.52
4312	1.41
4317	1.36
4322	1.39
4327	1.36
4332	1.30
4337	1.32
4342	1.32
4347	1.25
4352	1.24
4357	1.26
4362	1.22
4367	1.22
4372	1.26
4377	1.25
4382	1.21
4387	1.21
4392	1.22
4397	1.18
4402	1.18
4407	1.21
4412	1.19
4417	1.18
4422	1.21
4427	1.20
4432	1.17
4437	1.19
4442	1.19
4447	1.18
4452	1.19
4457	1.21
4462	1.20
4467	1.20
4472	1.23
4477	1.24
4482	1.22
4487	1.24
4492	1.26
4497	1.25
4502	1.25
4507	1.30
4512	1.31
4517	1.31
4522	1.23
4527	1.18
4532	1.15
4537	1.15
4542	1.11
4547	1.05
4552	1.03
4557	0.84
4562	0.78
4567	0.76
4572	0.79
4577	0.80
4582	0.75
4587	0.77
4592	0.80
4597	0.76
4602	0.76
4607	0.81
4612	0.78
4617	0.75
4622	0.80
4627	0.82
4632	0.75
4637	0.72
4642	0.73
4647	0.67
4652	0.69
4657	0.75
4662	0.75
4667	0.73
4672	0.80
4677	0.81
4682	0.74
4687	0.79
4692	0.86
4697	0.79
4702	0.82
4707	0.90
4712	0.86
4717	0.82
4722	0.90
4727	0.92
4732	0.82
4737	0.87
4742	0.97
4747	0.88
4752	0.90
4757	0.97
4762	0.91
4767	0.86
4772	0.94
4777	0.92
4782	0.83
4787	0.87
4792	0.89
4797	0.83
4802	0.63
4807	0.51
4812	0.42
4817	0.38
4822	0.37
4827	0.36
4832	0.34
4837	0.35
4842	0.35
4847	0.34
4852	0.34
4857	0.35
4862	0.34
4867	0.34
4872	0.35
4877	0.35
4882	0.33
4887	0.34
4892	0.35
4897	0.34
4902	0.34
4907	0.61
4912	0.58
4917	0.54
4922	0.50
4927	0.46
4932	0.37
4937	0.42
4942	0.54
4947	0.45
4952	0.49
4957	0.59
4962	0.62
4967	0.49
4972	0.43
4977	0.40
4982	0.38
4987	0.37
4992	0.37
4997	0.36
5002	0.36
5007	0.36
5012	0.35
5017	0.35
5022	0.35
5027	0.35
5032	0.35
5037	0.35
5042	0.35
5047	0.35
5052	0.34
5057	0.34
5062	0.34
5067	0.35
5072	0.35
5077	0.35
5082	0.35
5087	0.35
5092	0.35
5097	0.35
5102	0.35
5107	0.42
5112	0.38
5117	0.36
5122	0.37
5127	0.36
5132	0.34
5137	0.35
5142	0.36
5147	0.34
5152	0.35
5157	0.36
5162	0.35
5167	0.33
5172	0.35
5177	0.37
5182	0.34
5187	0.35
5192	0.36
5197	0.34
5202	0.34
5207	1.14
5212	2.07
5217	2.02
5222	2.12
5227	2.13
5232	2.03
5237	2.01
5242	2.13
5247	2.10
5252	2.20
5257	2.37
5262	2.45
5267	2.54
5272	2.67
5277	2.73
5282	2.75
5287	2.82
5292	2.87
5297	2.87
5302	2.89
5307	2.94
5312	2.93
5317	2.94
5322	2.97
5327	2.98
5332	3.00
5337	3.03
5342	3.04
5347	3.03
5352	3.05
5357	3.06
5362	3.06
5367	3.06
5372	3.04
5377	3.02
5382	3.01
5387	3.01
5392	3.02
5397	2.99
5402	3.01
5407	2.99
5412	2.96
5417	2.95
5422	2.95
5427	2.95
5432	2.93
5437	2.95
5442	2.94
5447	2.92
5452	2.92
5457	2.93
5462	2.92
5467	2.91
5472	2.90
5477	2.87
5482	2.84
5487	2.83
5492	2.83
5497	2.80
5502	2.79
5507	2.78
5512	2.73
5517	2.69
5522	2.68
5527	2.67
5532	2.64
5537	2.62
5542	2.60
5547	2.47
5552	2.29
5557	2.21
5562	1.96
5567	1.02
5572	0.86
5577	0.64
5582	0.50
5587	0.43
5592	0.74
5597	0.73
5602	0.74
5607	0.79
5612	0.81
5617	0.60
5622	0.49
5627	0.42
5632	0.38
5637	0.37
5642	0.36
5647	0.36
5652	0.35
5657	0.35
5662	0.34
5667	0.34
5672	0.34
5677	0.34
5682	0.34
5687	0.35
5692	0.35
5697	0.35
5702	0.35
5707	0.35
5712	0.35
5717	0.35
